"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Portabella Mushroom Powder & Bits (4 Cups)","Harmony House Foods",,1,19.95,0,0,19.95,0,19.95
"Northern Bean Stew Mix - PLAIN","Harmony House Foods",,1,19.95,0,0,19.95,0,19.95
"Royal Trumpet Mushrooms","Harmony House Foods",,1,19.95,0,0,19.95,0,19.95
"Champignon Mushroom Powder & Bits (4 Cups)","Harmony House Foods",,1,19.95,0,0,19.95,0,19.95
"Oyster Mushroom Powder & Bits (4 Cups)","Harmony House Foods",,1,19.95,0,0,19.95,0,19.95
"Clear ZIP Pouches, 1 Cup Size (50 Count)","Harmony House Foods",,2,21.9,-2.84,0,19.06,0,19.06
"Dried Vegetable Soup Bundle","Harmony House Foods",,1,18.95,0,0,18.95,0,18.95
"Split Peas","Harmony House Foods",,1,17.95,-1.8,0,16.15,0,16.15
"Dried Celery Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Lentil Soup Mix with Quinoa - PLAIN Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Chickenish Soup Mix - PLAIN Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Black Bean Chili Mix - PLAIN Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Corn Chowder Mix - PLAIN Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Dried Carrots Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Split Pea Soup Mix - PLAIN Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Vegetable Chili Mix - PLAIN Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Italian Vegetable Soup Mix - PLAIN Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Mixed Bean Chili Mix - PLAIN Bundle","Harmony House Foods",,1,19.95,-3.99,0,15.96,0,15.96
"Dried Tomato Dices Bundle","Harmony House Foods",,1,18.95,-3.79,0,15.16,0,15.16
"Chicken Style Flakes (Unflavored)","Harmony House Foods",,1,14.95,0,0,14.95,0,14.95
"Beef Style Chunks (Unflavored)","Harmony House Foods",,1,14.95,0,0,14.95,0,14.95
"Dried JalapenÌo Dices Bundle","Harmony House Foods",,1,17.95,-3.59,0,14.36,0,14.36
"Chickenish Seasoning","Harmony House Foods",,1,12.95,0,0,12.95,0,12.95
"Clear ZIP Pouches, 2.5 Cup Size, Heavy Duty (50 Count)","Harmony House Foods",,1,16.95,-4.4,0,12.55,0,12.55
"Tomato Powder Bundle","Harmony House Foods",,1,9.95,0,0,9.95,0,9.95
"Vegetable Chili Mix - PLAIN","Harmony House Foods",,2,9.9,0,0,9.9,0,9.9
"Great Northern Bean Stew Blend","Harmony House Foods",,2,9.9,0,0,9.9,0,9.9
"Fiesta Mixed-Bean Chili Blend","Harmony House Foods",,1,7.95,0,0,7.95,0,7.95
"Verylicious Veggie Chili Blend","Harmony House Foods",,1,4.95,0,0,4.95,0,4.95
