Name,Sold,Amount,Profit,Id
Organic Dried Green Bell Peppers (8 oz),67,1634.25,1133.09,70312
Dried Vegetable Soup Mix (30 lbs),64,19311.6,7958,10218
Beef Flavored Bits (46 oz),63,2177.67,1228.26,22014
Pinto Beans (4 lbs),63,2398.96,1437.58,12084
Bacon Flavored Bits (14 oz),61,955.37,602.4,22052
Beef Flavored Bits (14 oz),61,974.96,621.16,22012
Garbanzo Beans (4 lbs),61,2267.12,1403.97,12094
"Dried Potatoes, Diced (20 lbs)",60,7652.98,3827.58,10036
Garbanzo Beans (16 oz),60,892.52,516.92,12092
Hearty Texas Beefish Stew (2.4 oz),60,282.15,183.75,94021
Organic Freeze-Dried Banana Dices (6 oz),60,1489.5,1011.9,70102
Chorizo Flavored Crumbles (4 oz),58,256.43,186.25,22100
Taco Flavored Bits (4 oz),58,257.18,196.86,20050
"Dried Mushrooms, Bits & Pieces (24 oz)",56,3567.4,2113.64,10184
Dried Corn (12 oz),55,1079.31,648.11,10102
Lentils (3.75 lbs.),54,2077.37,1345.13,12014
Unbelievable Black Bean Chili (2.65 oz),54,267.3,201.96,94081
"Bean & Legume Pantry Stuffer (8 Varieties, Quart Size)",53,4742.68,1996.22,19021
Chorizo Flavored Crumbles (16 oz),53,945.88,583.36,22102
Freeze Dried Pineapple Dices (5 oz),53,1216.37,673.64,51172
Garden Veggie Chickenish Soup (2.15 oz),53,245,171.86,94011
Hearty Texas Beefish Stew (4.85 oz),53,417.35,284.57,94015
Italian Vegetable Soup Mix - PLAIN (12.5 oz),53,1045.38,689.75,95102
Lentils (4 oz),53,209.35,160.59,12010
Chicken Flavored Bits (15 oz),51,812.47,506.47,22022
Dark Kidney Beans (25 lbs),51,8402.67,3491.88,12076
Great Northern Bean Stew (5.75 oz),51,405.45,288.66,94035
Lentils (16 oz),51,762.45,451.86,12012
Tomato Powder (44 lb. Wholesale Box),51,22421.12,10098.03,10118
Organic Dried Tomato Flakes (10 oz),50,1225.06,946.56,70332
Gourmet Lion's Mane Mushroom Powder & Bits (Pom Pom) (4 Cups),49,1030.15,608.26,11072-2
Chicken Style Chunks (Unflavored) (46 oz),48,1250.88,661.92,21064
Dried Green Beans (10 lbs),48,10142.19,5071.47,10076
Freeze Dried Banana Powder (4 Cups / 64 Tbs),48,2325.44,1080.76,50141
Dried Corn (48 oz),47,2955.34,1603.15,10104
Greek Lentil Soup with Quinoa (3 oz),47,229.9,169.27,94041
Sausage Flavored Crumbles (15 oz),47,834.13,547.43,22072
Verylicious Veggie Chili (5 oz.),47,373.65,273.54,94065
Dark Kidney Beans (60 oz.),45,1659.88,927.28,12074
Dried Carrots (20 lbs),45,7389.81,3693.51,10016
"Dried Mushrooms, Bits & Pieces (6 oz)",45,1325.27,905.42,10182
Freeze Dried Raspberry Powder (4 Cups / 64 Tbs),45,3511.25,1084.49,50191
