ï»¿(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0DJG984HV,B0DHWDDQTS,"SHEEPDOG MICROPHONES HDLO Earpiece, Tactical/Braided, 3.5mm Connector, 22 Inch Wire, Clear",757,29,0.59%,0.80%,"1,076",37,0.63%,0.77%,97.44%,100.00%,69,22,9.11%,75.86%,"$8,142.00","$2,596.00",57,10
B00CSYU6MI,B00CSYU6MI,Ear Phone Connection Torpedo Ear Bud 3-Pack,430,13,0.34%,0.36%,573,21,0.34%,0.44%,96.98%,64.71%,68,15,15.81%,115.38%,$826.35,$140.00,56,6
B01NAAKLU5,B01NAAKLU5,Tactical Ear Gadgets EP1089SC Fox 3.5mm Listen Only Earpiece with Black Acoustic Tube,463,18,0.36%,0.49%,612,21,0.36%,0.44%,92.61%,85.00%,75,25,16.20%,138.89%,"$2,659.34",$898.63,56,7
B0CV63L618,B0CV63L618,"SHEEPDOG MICROPHONES Swivel Earpiece with Microphone, Compatible with Motorola R7, ION and MXP600, Black Cable (LMC-1GH-M20), Premium Headset",358,40,0.28%,1.10%,496,50,0.29%,1.04%,97.07%,97.87%,167,136,46.65%,340.00%,"$9,185.00","$7,480.00",53,24
B0DJDYFL91,B0DJDYFL91,"TEKHEUTEN Farmhouse Chips and Salsa Bowl Set (Hot and Mild), White, Shatterproof Serving Dishes, Dishwasher-Safe, Durable",647,17,0.50%,0.47%,872,23,0.51%,0.48%,100.00%,100.00%,51,1,7.88%,5.88%,$979.51,$19.99,51,1
B0G3XXG4JC,B0G3XXG4JC,TEKHEUTEN White Wooden Gift Card Holder Storage Box with Secure Metal Latch â Keeps Gift Cards Organized & Protected â Elegant Farmhouse Gift Card Organizer,484,11,0.38%,0.30%,642,15,0.38%,0.31%,100.00%,100.00%,48,1,9.92%,9.09%,"$1,033.53",$21.99,46,1
B01B5ELF30,B01B5ELF30,E Phone Connection Motorola APX4000/APX6000/APX7000 Quick Release Radio Adapter (EP-534QR-PTT),914,35,0.71%,0.96%,"1,192",40,0.70%,0.83%,56.13%,97.14%,66,28,7.22%,80.00%,"$2,658.14",$980.00,45,9
B082P6RC8W,B082P6RC8W,"Earphone Connection Radio Earpiece, Hawk Lapel Microphone, Quick Release Replacement Adapter for Wire Kits, Motorola APX 900 APX 4000 APX 6000 APX 7000 APX 8000","1,965",70,1.53%,1.92%,"2,535",83,1.49%,1.72%,67.97%,71.93%,53,2,2.70%,2.86%,"$2,358.50",$89.00,43,2
B0CSF3P9QJ,B0CSF3P9QJ,"AWARE Accessory Pack (Includes Eartips, Black Wire Guide, Retainer Clip)",263,6,0.21%,0.16%,393,11,0.23%,0.23%,97.83%,100.00%,42,1,15.97%,16.67%,$840.00,$20.00,40,1
B0DG5DH7V3,B0DG5DH7V3,"TEKHEUTEN Alarm On/Off Sign, Sliders, Farmhouse Design, For Home or Office, Includes Magnet and Sticker Mounts, 7 x 2 Inches, Security System Status Indicator Tag (Pack of 2)",243,14,0.19%,0.38%,376,15,0.22%,0.31%,99.69%,100.00%,40,3,16.46%,21.43%,$679.60,$50.97,40,3
B0D5P6YF7Q,B0D5P6YF7Q,"SHEEPDOG MICROPHONES Cyclone Push-to-Talk (PTT) Microphone, Quick Disconnect, Compatible with Motorola APX and APX Next, 32 Inch Cord, Dual-Switch Technology, 3.5mm Audio Port for Earpiece",572,16,0.45%,0.44%,786,19,0.46%,0.39%,99.15%,100.00%,40,4,6.99%,25.00%,"$3,510.00",$360.00,39,4
B0DJG984HV,B0DHWDL4TV,"SHEEPDOG MICROPHONES HDLO Earpiece, Tactical/Braided, 3.5mm Connector, 22-Inch Wire, Black",361,11,0.28%,0.30%,439,16,0.26%,0.33%,98.76%,100.00%,38,3,10.53%,27.27%,"$4,366.00",$354.00,37,3
B08YS25QCT,B08YS25QCT,"Sheepdog Microphones Semi-Custom Earmolds, Left and Right Medium Pair, Flesh/Pink Open Ear Inserts, Fits Acoustic Tube Surveillance Earpieces and Headsets",275,7,0.21%,0.19%,352,7,0.21%,0.15%,98.75%,100.00%,44,0,16.00%,0.00%,$393.80,$0.00,35,0
B01BQPRTS8,B01BQPRTS8,"Pryme BT-PTT-Z (Mini) Wireless PTT Switch for Zello, Apple iOS Only, Wireless PTT Switch Works with Zello iPhone/iPad App, No Charging Required, Small",392,19,0.31%,0.52%,518,28,0.30%,0.58%,93.06%,100.00%,37,8,9.44%,42.11%,"$1,491.94",$330.94,33,6
B0CV6SYM9R,B0CV6SYM9R,"SHEEPDOG MICROPHONES Heavy Duty Speaker Microphone, Compatible with Motorola R7, ION and MXP600, Black Cable (SPM-2100-M20), 3.5mm Privacy Earpiece Port, Black Cable",329,27,0.26%,0.74%,508,37,0.30%,0.77%,96.88%,100.00%,79,54,24.01%,200.00%,"$7,031.00","$4,806.00",31,13
B0C5SB6KJK,B0C5SB6KJK,"SHEEPDOG MICROPHONES Acoustic Tube Earpiece Mic, Compatible with Kenwood PKT-23 ProTalk, Commercial-Grade",108,11,0.08%,0.30%,197,15,0.12%,0.31%,95.10%,100.00%,61,30,56.48%,272.73%,"$1,398.36",$654.36,30,14
B0CV64Y2ZC,B0CV64Y2ZC,"SHEEPDOG MICROPHONES Earhook Earpiece with Microphone, Compatible with Motorola R7, ION and MXP600, Black Cable (LMC-1EH-M20), Premium Headset",407,26,0.32%,0.71%,544,37,0.32%,0.77%,95.74%,100.00%,87,67,21.38%,257.69%,"$5,220.00","$4,020.00",27,9
B087FBT18C,B087FBT18C,"Radio Earpiece, Compatible with Harris XG-100 XG-100P XL-185 XL-185P XL-185Pi XL-200 XL-200P and XL-200Pi, EP1348QR-PTT Quick Release Hawk Lapel Police Mic, Includes Exclusive Accessory Pack",255,10,0.20%,0.27%,379,15,0.22%,0.31%,90.00%,100.00%,26,2,10.20%,20.00%,"$2,497.25",$199.78,26,2
B011GUC29Y,B011GUC29Y,OTTO Brand 3.5mm Listen Only Earpiece with Acoustic Audio Tube,193,14,0.15%,0.38%,281,17,0.17%,0.35%,98.81%,87.50%,52,35,26.94%,250.00%,"$1,822.32","$1,160.00",24,9
B0C1HJWK41,B0C1HJWK41,"SHEEPDOG MICROPHONES Quick Disconnect Tactical 1-Wire Lapel Microphone Surveillance PTT Kit, Compatible with Motorola APX6000 APX7000 APX8000, 3.5mm Port (1W-3.5F-APXQD)",476,17,0.37%,0.47%,665,20,0.39%,0.41%,99.51%,100.00%,24,2,5.04%,11.76%,"$1,725.00",$150.00,24,2
B07V4P76N7,B07V4P76N7,"Radio Earpiece for Motorola XTS Series, EP1323QR Quick Release Hawk Lapel Mic, Police Surveillance Headset, Includes Exclusive Accessory Pack",285,6,0.22%,0.16%,389,9,0.23%,0.19%,96.86%,100.00%,32,15,11.23%,250.00%,"$3,096.46","$1,498.35",23,6
B0BVD3VWYN,B0BVD3VWYN,"SHEEPDOG MICROPHONES HDLO, 2.5mm Covert High Definition Police Listen Only Earpiece (HDLO-2.5), 24 Inch",446,9,0.35%,0.25%,671,11,0.39%,0.23%,97.22%,100.00%,26,6,5.83%,66.67%,"$2,808.00",$648.00,23,3
B082MSLL19,B082MSLL19,"Earphone Connection Radio Earpiece, Hawk Lapel Microphone, Quick Release, Harris Unity XG-15 XG-25 XG-75 P5300 P5400 P5500 and P7300 Series",355,7,0.28%,0.19%,510,8,0.30%,0.17%,93.00%,100.00%,21,3,5.92%,42.86%,"$2,050.02",$252.00,21,3
B0BTRRNR7C,B0BTRRNR7C,"SHEEPDOG MICROPHONES Alpha Quick Disconnect Police Microphone Earpiece, Compatible with Kenwood NX and TK Mult-Pin Radios",207,12,0.16%,0.33%,283,15,0.17%,0.31%,99.60%,100.00%,36,17,17.39%,141.67%,"$3,060.00","$1,445.00",21,3
B0BVD7RSS3,B0BVD7RSS3,"SHEEPDOG MICROPHONES Choice PTT Microphone, Compatible with Motorola APX6000 APX7000 APX8000 Series (C+PTT-M12)","1,085",22,0.85%,0.60%,"1,448",30,0.85%,0.62%,99.06%,100.00%,20,0,1.84%,0.00%,"$1,499.80",$0.00,20,0
B0BVDNQD1Y,B0BVDNQD1Y,"SHEEPDOG MICROPHONES 1-Wire Police Surveillance PTT Microphone, Compatible with Motorola APX6000 APX7000 APX8000 Series (3.5F+1WB-M12)",260,10,0.20%,0.27%,355,11,0.21%,0.23%,99.04%,100.00%,20,2,7.69%,20.00%,"$1,299.80",$129.98,20,2
B07XQJQPQR,B07XQJQPQR,Maxon TSA-4260 Li-Ion 2600 mAh Battery for Maxon TecNet TSD-4416 Two Way Radios,90,21,0.07%,0.58%,123,29,0.07%,0.60%,100.00%,100.00%,87,79,96.67%,376.19%,"$5,133.00","$4,661.00",19,15
B08JGGYSYM,B08JGGYSYM,Sheepdog Microphones 8-Pin Listen Only Earpiece Headset Earphone with Clear Coiled Acoustic Tube for Motorola APX Speaker Microphones HMN4101 HMN4103 and HMN4104,158,8,0.12%,0.22%,207,8,0.12%,0.17%,99.47%,100.00%,24,9,15.19%,112.50%,"$1,008.00",$378.00,18,3
B00OSJP14Y,B00OSJP14Y,Ear Phone Connection Hawk Microphone Replacement Kit,285,8,0.22%,0.22%,393,9,0.23%,0.19%,68.93%,88.89%,20,5,7.02%,62.50%,"$1,075.39",$200.00,16,1
B0C3PSP2G6,B0C3PSP2G6,Early Bird 8-Pin Speaker to 3.5mm Female Port Adapter,53,1,0.04%,0.03%,94,1,0.06%,0.02%,98.68%,100.00%,16,1,30.19%,100.00%,$607.84,$37.99,16,1
B0CGW53BD5,B0CGW53BD5,"Klein Dark Series, Covert Police Listen Only Earpiece, Tubeless, 3.5mm, 22-Inch Cord, Clear (Dark-3.5-RT)",839,23,0.65%,0.63%,"1,102",48,0.65%,1.00%,99.79%,100.00%,16,1,1.91%,4.35%,"$1,359.20",$84.95,16,1
B0CQTSRCF8,B0CQTSRCF8,"Sheepdog Sierra Speaker Microphone, Quick Disconnect (QD), Compatible with Motorola APX",349,19,0.27%,0.52%,446,25,0.26%,0.52%,99.03%,100.00%,15,3,4.30%,15.79%,"$1,368.00",$264.00,15,3
B0CV651G2C,B0CV651G2C,"SHEEPDOG MICROPHONES D-Ring Earpiece with Microphone, Compatible with Motorola R7, ION and MXP600, Black Cable (LMC-1DR-M20), Premium Headset",119,10,0.09%,0.27%,227,13,0.13%,0.27%,100.00%,100.00%,26,15,21.85%,150.00%,"$1,287.00",$742.50,15,4
B0884SSCYS,B0884SSCYS,"Radio Earpiece, 3.5mm Listen Only Coiled Acoustic Tube Earpiece by Earphone Connection, Fox EP1089SC, Compatible with Shoulder Speaker Microphones, Law Enforcement Police Patrol Privacy Surveillance",246,4,0.19%,0.11%,327,4,0.19%,0.08%,98.94%,100.00%,14,0,5.69%,0.00%,$592.48,$0.00,14,0
B08J1B81T7,B08J1B81T7,"Sheepdog Microphones Quick Disconnect Police Lapel Mic, Compatible with Harris XG25 XG75 XG15 P5300 P5400 P5500 and P7300 Series, Law Enforcement Earpiece Headset",261,6,0.20%,0.16%,364,6,0.21%,0.12%,99.40%,100.00%,13,0,4.98%,0.00%,"$1,144.00",$0.00,13,0
B08J1MQPW3,B08J1MQPW3,"Sheepdog Microphones Quick Disconnect Police Lapel Mic, Compatible with Harris Unity XG-100 XL-185P XL-185Pi XL-200P XL-200Pi XL-150P, Law Enforcement Earpiece Headset",229,6,0.18%,0.16%,311,9,0.18%,0.19%,100.00%,100.00%,13,2,5.68%,33.33%,"$1,144.00",$176.00,13,2
B0118K5AM8,B0118K5AM8,"Radio Earpiece Adapter, Tactical Ear Gadgets, EP55U, Compatible with Harris XG-100, XG-100P, XL-185, XL-185P, XL-185Pi, XL-200, XL-200P, XL-200Pi",309,14,0.24%,0.38%,453,22,0.27%,0.46%,100.00%,100.00%,15,5,4.85%,35.71%,$629.30,$224.75,12,2
