ï»¿(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0759V98SZ,B0759V98SZ,PRYMEÂ® SPM-2337 2-Wire Earpiece for Harris M/A Com P Series Unity XG-75 Radios,1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0759W1WLY,B0759W1WLY,Trooper II Quick Disconnect Noise Cancelling Water Proof Speaker Mic for Harris Unity XG-15 XG-25 XG-75 P5300 P5400 P5500 and P7300 Two Way Radios,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0759WTY9C,B0759WTY9C,Pryme SPM-2342 Quick Disconnect 2-Wire Earpiece for Vertex VX-120 127 170 177 6R 7R,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0759XWRNC,B0759XWRNC,Trooper II Quick Disconnect Noise Cancelling Water Proof Speaker Mic for Motorola EX GP PRO Elite,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075B12FZ2,B075B12FZ2,Pryme SPM-2342 2-Wire Surveillance Earpiece for Vertex VX-120 127 170 177 6R 7R,2,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075GXNMTJ,B075GXNMTJ,PRYMEÂ® SPM-3303 3-Wire Surveillance Earpiece for Motorola 2-Pin Radios (See List),2,0,0.00%,0.00%,4,0,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075GY9G37,B075GY9G37,PRYMEÂ® SPM-302EB Responder Earpiece Mic for Vertex FT VX Series (See List),3,1,0.00%,0.03%,4,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075GYWHFD,B075GYWHFD,Pryme SPM-3005 Sonic Surveillance Earpiece for Pryme Quick Disconnect Adapters,1,1,0.00%,0.03%,1,1,0.00%,0.02%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075GZF7K6,B075GZF7K6,Pryme SPM-3300-H8 3-Wire Earpiece for HYT X1e X1p Z1p PD602/G 662/G 682/G Radios,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075GZSHYH,B075GZSHYH,"Pryme SPM-301EB Responder Earpiece Mic, Compatible with Kenwood 2-Pin Radios",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075H1G2D2,B075H1G2D2,Pryme SPM-3083 Sonic Earpiece for Motorola TRBO & APX Series Radios (See List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075H2X7P9,B075H2X7P9,PRYMEÂ® SPM-300EB-T8 Responder Earpiece Mic for Tait TP8000 TP9000 Series Radios,4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075KLB6ZB,B075KLB6ZB,PRYMEÂ® SPM-330sEB Responder Earpiece Mic for ICOM Side 2-Pin with Screws,1,1,0.00%,0.03%,1,1,0.00%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075KLPHDT,B075KLPHDT,Pryme SPM-333EB Responder Earpiece Mic for Baofeng BF A58 BF-9700 Two-Way Radios,2,1,0.00%,0.03%,3,2,0.00%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075KPDYFD,B075KPDYFD,Pryme SPM-333EB Quick Disconnect Responder Earpiece Mic for CBPRO GP HT JT MTX PRO PTX,1,1,0.00%,0.03%,1,1,0.00%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075KPKXTH,B075KPKXTH,PRYMEÂ® SPM-343EB Responder Earpiece Mic for Motorola EX GL GP PRO (See List),1,1,0.00%,0.03%,2,2,0.00%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075KPPWNS,B075KPPWNS,Pryme SPM-3311 Quick Disconnect 3-Wire Earpiece for Kenwood Multi-Pin TK NEXEDGE (See List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075KQD24Q,B075KQD24Q,PRYMEÂ® SPM-355EB Responder Earpiece Mic for Hytera PD702/G 752 782/G 792 PT580H,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075KRLCR9,B075KRLCR9,PRYMEÂ® SPM-3330 Quick Disconnect 3-Wire Earpiece for ICOM 2-Pin Radios (No Screws) (See List),2,1,0.00%,0.03%,2,1,0.00%,0.02%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075KSJN3V,B075KSJN3V,PRYMEÂ® SPM383EB Responder Police Lapel Mic Earpiece Compatible with Motorola APX6000 APX7000,2,1,0.00%,0.03%,2,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075LP76QD,B075LP76QD,PrymeÂ® Storm Trooperâ¢ IP67 HD Shoulder Microphone for Motorola XTS Series Radios,1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075LQS4Z6,B075LQS4Z6,PRYMEÂ® SPM-4201 Storm Trooper Speaker Microphone for HYT TC-268/S 270/S 368/S 370/S,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075LW3GH9,B075LW3GH9,SPM-4220 Quick Disconnect Storm Trooper Speaker Mic for ICOM F9011 F9021 F4261 F3261 4263DT,1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075LWDW28,B075LWDW28,SPM-4205 Storm Trooper Speaker Mic for Quick Disconnect Release Adapters,5,2,0.00%,0.05%,5,2,0.00%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075LX1FGQ,B075LX1FGQ,SPM-4211P Storm Trooper Speaker Mic for Kenwood Multi-Pin NEXEDGE Radios,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075LXGRTS,B075LXGRTS,SPM-4233 Storm Trooper Mic for Motorola Multi-Pin 2-Way Radios (See List),1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075LY98J2,B075LY98J2,SPM-4210 Quick Disconnect Storm Trooper Speaker Mic for ICOM Multi-Pin Radios (See List),1,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075M2GZ98,B075M2GZ98,SPM-4232 Storm Trooper Speaker Mic for Vertex Multi-Pin Radios (See List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075M474BP,B075M474BP,Pryme SPM-4237 Storm Trooper Mic for Harris Unity XG-15 XG-25 XG-75 P5300 P5400 P5500 and P7300 Two Way Radios,4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075MNTYW7,B075MNTYW7,Synergy SPM-600-T8 Quick Disconnect Speaker Mic for Tait TP8110 8115 8120 8135 8140 8300 9400,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075MQ47PW,B075MQ47PW,SPM-4283 Storm Trooper Speaker Mic for MotoTRBO and APX Series Radios,5,0,0.00%,0.00%,10,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075MQG268,B075MQG268,PRYMEÂ® Synergy SPM-605 Quick Disconnect Speaker Microphone for All Radio Adapters,6,0,0.00%,0.00%,9,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075QMW1FB,B075QMW1FB,Pryme Synergy SPM-633 Speaker Microphone for Baofeng Multi-Pin BF A58 BF-9700,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075QMX7XW,B075QMX7XW,Synergy SPM-655 Quick Disconnect Shoulder Speaker Microphone for Hytera PD702/G 752 782/G 792 PT580H Two Way Radios,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B075QMXDLL,B075QMXDLL,Pryme Synergy SPM-643 Speaker Microphone for Motorola EX GL GP PRO (See List),2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B077BS9DGZ,B077BS9DGZ,Smart Rapid Vehicle Car Charger for HYT Hytera BD502 BD552 2-Way Handheld Radios,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B077T6NSQ9,B077T6NSQ9,Smart Rapid Vehicle Car Charger for ICOM IC-F1000 (T/S) Series Two-Way Radios,1,1,0.00%,0.03%,2,2,0.00%,0.04%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B077TZGJ4G,B077TZGJ4G,Smart Rapid Vehicle Car Charger for ICOM Portable Two-Way Radios (See List),6,1,0.00%,0.03%,8,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B078CB5TCW,B078CB5TCW,Smart Rapid Vehicle Car Charger for Hytera HYT TC-508 518 580 Handheld Radios,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B078CJWC71,B078CJWC71,Smart Rapid Vehicle Car Charger for ICOM Handheld Two-Way Radios (See List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B079TCWBVW,B079TCWBVW,Impact I3-P1W-AT1 Platinum Series 1-Wire Surveillance Kit for Icom (2 Mount Screws) F Series (See List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B079TDWG6K,B079TDWG6K,Impact MC3-P1W-AT1 Platinum Series 1-Wire Surveillance Kit for M/A Com P Series and Unity Radios,5,0,0.00%,0.00%,7,0,0.00%,0.00%,83.33%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B079TFFKPF,B079TFFKPF,Impact M15-P1W-AT1 Platinum Series 1-Wire Surveillance Kit for Motorola SL Radios,6,0,0.00%,0.00%,8,0,0.00%,0.00%,85.71%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C76DVWM,B07C76DVWM,"Power Products Endura EC6M+TWP-MT3 6-Unit Charger for Motorola CP150 CP200, CP250, EP450, PR400 Series",19,5,0.01%,0.14%,22,5,0.01%,0.10%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C76DYZM,B07C76DYZM,Power Products Endura EC6M+TWP-HY1 6-Unit Charger for Hyt TC-500 and Blackbox Standard Series,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7JBR7B,B07C7JBR7B,Power Products Endura EC6M+TWP-IC6LI 6-Unit Charger for Icom F3001 F4001 LI-ION Series,4,1,0.00%,0.03%,4,1,0.00%,0.02%,75.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7JBZQ9,B07C7JBZQ9,Power Products Endura EC6M+TWP-VX7 6-unit charger for Vertex EVX and VX Series,9,4,0.01%,0.11%,15,5,0.01%,0.10%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7JRJ8M,B07C7JRJ8M,Power Products Endura EC6M+TWP-IC3A 6-unit charger for Icom F4011 BP232 Series,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7JS57L,B07C7JS57L,"Power Products Endura EC1+TWP-MT19 Single Unit Charger for Motorola APX6000XE, APX7000, APX7000XE, APX 8000",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7N5G2D,B07C7N5G2D,Power Products Endura EC6M+TWP-IC6MH 6-unit charger for Icom F3001 F4001 NI-MH Series,3,0,0.00%,0.00%,3,0,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7N5L5M,B07C7N5L5M,Power Products Endura EC6M+TWP-IC7LI 6-unit charger for Icom F1000 F2000 Series,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7N5QW6,B07C7N5QW6,Power Products Endura EC6M+TWP-MT10A 6-Unit Charger for Motorola BPR40 Series,22,4,0.02%,0.11%,28,4,0.02%,0.08%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7P1SM2,B07C7P1SM2,"Power Products Endura EC6M+TWP-KW3 6-Unit Charger for Kenwood NX220, NX320, NX420, TK2160, TK2170, TK2360, TK3140, TK3160, TK3170, TK3173, TK3360 Series",13,4,0.01%,0.11%,17,7,0.01%,0.15%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7P8CSQ,B07C7P8CSQ,Power Products Endura EC1+TWP-MT4 Single Unit Charger for Motorola CT150 CT250 CT450LS Series,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7P9YBD,B07C7P9YBD,"Power Products Endura EC6M+TWP-MT19 6-Unit Charger for Motorola APX6000XE, APX7000, APX7000XE, APX 8000",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C7WJYGH,B07C7WJYGH,Power Products Endura EC6M+TWP-HY4 6-unit charger for Hytera PD702 PD782 series,6,3,0.00%,0.08%,7,3,0.00%,0.06%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07C8B6M8H,B07C8B6M8H,Power Products Endura EC1M+TWP-HY4 Single Unit car Charger for Hytera PD702 PD782 Series,11,2,0.01%,0.05%,11,2,0.01%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CG9XRYP,B07CG9XRYP,Power Products Endura EC6M+TWP-HY6 6-Unit Charger for Hyt yt TC508 TC580 Series,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CGFDBSH,B07CGFDBSH,Power Products Endura EC1+TWP-MT8A Single Unit Charger for Motorola CP125 AXU4100 Series,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CGFDBSL,B07CGFDBSL,"Power Products Endura EC1+TWP-MT3 Single Unit Charger for Motorola CP150 CP200, CP250, EP450, PR400 Series",2,1,0.00%,0.03%,3,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CGFVDZ5,B07CGFVDZ5,Power Products Endura EC6M+TWP-IC5 6-Unit Charger for Icom F70 F80 F9011 Series,2,0,0.00%,0.00%,2,0,0.00%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CGGJY9Q,B07CGGJY9Q,Power Products Endura EC6M+TWP-MT9 6-Unit Charger for Motorola HT1000 Jedi Series,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CGGK2ZD,B07CGGK2ZD,"Power Products Endura EC6M+TWP-MT16A 6-Unit Charger for Motorola XPR6300, XPR6350, XPR6500, XPR6550 Series",8,1,0.01%,0.03%,9,1,0.01%,0.02%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CGHGNCM,B07CGHGNCM,Power Products Endura EC6M+TWP-MT18 6-Unit Charger for Motorola CP185 Series,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMDHHQP,B07CMDHHQP,Endura EAK-1WDR-MT1 1-Wire Ear Hook Earpiece Kit for Motorola 2-Pin Radios CP200D Hytera TC508 Tekk and More (See Description for Complete Radio Compatibility List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMFMC37,B07CMFMC37,Endura EAK-1WGR-KW1 1-Wire Swivel Earpiece Kit for Kenwood 2-Pin Radios TK3400 NexEdge Pro Talk and More (See Description for Complete Radio Compatibility List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMFP12S,B07CMFP12S,Endura ESK-LIS35-90 3.5mm Listen Only Earpiece for Remote Speaker Shoulder Microphones,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMG45DB,B07CMG45DB,Endura ESK-1WATD-KW2 1-Wire Surveillance Earpiece for Kenwood Multi-Pin TK-3140 NX-300 Radios and More (See Description for Complete Radio Compatibility List),2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMH1C4R,B07CMH1C4R,Endura EAK-1WDR-KW1 1-Wire D-Ring Earpiece Kit for Kenwood 2-Pin Radios TK3400 NexEdge Pro Talk and More (See Description for Complete Radio Compatibility List),1,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMHBSVS,B07CMHBSVS,Endura EN-ESK-1W-HY1L 1-Wire Surveillance Earpiece for HYT Hytera PD502 562 TC700 BD502 and Titan TR Series (See Description for Complete Radio Compatibility List),2,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMHN6CS,B07CMHN6CS,Endura ESK-AT1 Clear Acoustic Audio Tube for ESK-2WPM-xx ESK-1WATD-xx Earpieces,3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMHNCN6,B07CMHNCN6,Endura ESM-20-MT1 Speaker Mic for Motorola 2-Pin Radios CP200D Hytera TC508 Tekk Two Way Radios and More (See Description for Complete Radio Compatibility List),3,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMHRXBK,B07CMHRXBK,Endura ESM-20-TA1 Speaker Mic for Tait TP8100 and TP9400 Series Two Way Radios,2,1,0.00%,0.03%,2,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMJ58D8,B07CMJ58D8,Endura ESK-LIS25-90 2.5mm Listen Only Earpiece for Remote Speaker Shoulder Microphones,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMJGL66,B07CMJGL66,Endura ESM-28-TA1 Speaker Mic for Tait TP8100 and TP9400 Series Two Way Radios,7,2,0.01%,0.05%,8,2,0.00%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMJXBD5,B07CMJXBD5,ESK-1WATD-KW1 1-Wire Surveillance Earpiece for Kenwood 2-Pin Radios TK3400 NexEdge Pro Talk and More (See Description for Complete Radio Compatibility List),2,2,0.00%,0.05%,3,3,0.00%,0.06%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMJZMZW,B07CMJZMZW,Endura EAK-1WGR-MT1 1-Wire Swivel Earpiece Kit for Motorola 2-Pin Radios CP200D Hytera TC508 Tekk and More (See Description for Complete Radio Compatibility List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMK4XBT,B07CMK4XBT,Endura ESK-1WATD-MT1 1-Wire Surveillance Earpiece for Motorola 2-Pin Radios CP200D Hytera TC508 Tekk and More (See Description for Complete Radio Compatibility List),3,1,0.00%,0.03%,3,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMKW5BQ,B07CMKW5BQ,Endura ESK-1WATD-HY1L 1-Wire Surveillance Earpiece for HYT Hytera PD502 562 TC700 BD502 and Titan TR Series (See Description for Complete Radio Compatibility List),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMKWR67,B07CMKWR67,Endura EAK-1WDR-MT1 1-Wire D-Ring Earpiece Kit for Motorola 2-Pin Radios CP200D Hytera TC508 Tekk and More (See Description for Complete Radio Compatibility List),3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CML3KPV,B07CML3KPV,Endura ESK-EB2 Small Mushroom Style Earbuds for Acoustic Tubes,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMLL4LD,B07CMLL4LD,Endura ESK-LIS35-S 3.5mm Listen Only Earpiece for Remote Speaker Shoulder Microphones,3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMLR527,B07CMLR527,Endura ESM-20-KW1 Speaker Mic for Kenwood 2-Pin Radios TK3400 NexEdge Pro Talk Two Way Radios and More (See Description for Complete Radio Compatibility List),5,0,0.00%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMMFKQZ,B07CMMFKQZ,Endura EN-ESK-1W-MT1 1-Wire Surveillance Earpiece for Motorola 2-Pin Radios CP200D Hytera TC508 Tekk and More (See Description for Complete Radio Compatibility List),2,1,0.00%,0.03%,2,1,0.00%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMP6L2D,B07CMP6L2D,Endura EAK-1WEH-KW1 1-Wire Ear Hook Earpiece Kit for Kenwood 2-Pin Radios TK3400 NexEdge Pro Talk and More (See Description for Complete Radio Compatibility List),11,0,0.01%,0.00%,15,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMPC7CH,B07CMPC7CH,Endura ESM-28-KW2 Speaker Mic for Kenwood Multi-Pin TK-3140 NX-300 Two Way Radios and More (See Description for Complete Radio Compatibility List),8,0,0.01%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CMPD4KP,B07CMPD4KP,Endura ESK-2WPM-MT1 2-Wire Surveillance Earpiece for Motorola 2-Pin Radios CP200D Hytera TC508 Tekk and More (See Description for Complete Radio Compatibility List),2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CNFFBD9,B07CNFFBD9,Endura Semi-Custom Open Ear Insert Earmold Pair Left and Right Medium for Clear Acoustic Audio Tube,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07CYPZVNF,B07CYPZVNF,Power Products LE4069LIIS Intrinsically Safe Battery for Motorola XPR6300 and XPR6500 Two Way Radios Replaces PMNN4069A,3,2,0.00%,0.05%,4,3,0.00%,0.06%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07DWDLB3S,B07DWDLB3S,Earpieces Ear Hook 1-Wire and Microphone Headset Accessory for Motorola XTS 2500 MTS2000 MTX 8000 PR1500 Viking VP900 Two-Way Radios,4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07FGF8R3C,B07FGF8R3C,"Earpieces M12-2W-SWVL 2-Wire Swivel Headset Accessory for Motorola APX & XPR Radios - Black, Wired, On Ear, Sound Isolation",11,1,0.01%,0.03%,13,2,0.01%,0.04%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07FSZG522,B07FSZG522,"Impact 18"" 2.5mm Earpiece Only Headset for Shoulder Speaker Remote Microphone",2,0,0.00%,0.00%,8,0,0.00%,0.00%,12.50%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07FY1SYDZ,B07FY1SYDZ,Power Products PM4486LIPIC Battery for Motorola APX6000 APX7000 and APX8000 Two Way Radios Replaces PMNN4486,14,1,0.01%,0.03%,18,1,0.01%,0.02%,100.00%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07FY3WX6G,B07FY3WX6G,PolyMax HPC Power Products Battery for Motorola HT750 HT1250 MTX850 MTX900 MTX950 MTX8250LS MTX9250,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07FYSHNN8,B07FYSHNN8,Power Products PolyMax HPC Battery for Harris P5400 P5100 P5500 P5300 M/A-COM Jaguar Two Way radios,3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07FYVNLSR,B07FYVNLSR,PolyMax HPC Power Products Battery for Motorola XTS3000 XTS3500 XTS5000 Two Way Radios,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07J52TNF7,B07J52TNF7,Pryme SPM-1312 Mirage 1-Wire Earpiece for Vertex Standard VX-310 VX-500 VX-510 VX-520 and VX-520UD Two Way Radios,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B07J9RC7TT,B07J9RC7TT,Pryme SPM-2322S-BF Braided Fiber 2-Wire Surveillance Kit for Vertex Standard VX-261 and EVX-530 Two Way Radios,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
